Instance,#cols,#rows,D3X_Time,D3XZ_Time,D3X_Sols,D3XZ_Sols,ZDD_Size
kts21-ptpt-0039.zdd,,,timeout,,,,
kts21-ptpt-0040.zdd,,,timeout,,,,
kts21-ptpt-0041.zdd,,,timeout,,,,
kts21-ptpt-0042.zdd,,,timeout,,,,
kts21-ptpt-0043.zdd,,,timeout,,,,
kts21-ptpt-0044.zdd,,,timeout,,,,
kts21-ptpt-0045.zdd,,,timeout,,,,
kts21-ptpt-0046.zdd,,,timeout,,,,
kts21-ptpt-0047.zdd,,,timeout,,,,
kts21-ptpt-0048.zdd,,,timeout,,,,
kts21-ptpt-0049.zdd,,,timeout,,,,
kts21-ptpt-0050.zdd,,,timeout,,,,
kts21-ptpt-0051.zdd,,,timeout,,,,
kts21-ptpt-0052.zdd,,,timeout,,,,
kts21-ptpt-0053.zdd,,,timeout,,,,
kts21-ptpt-0054.zdd,,,timeout,,,,
kts21-ptpt-0055.zdd,,,timeout,,,,
kts21-ptpt-0056.zdd,,,timeout,,,,
kts21-ptpt-0057.zdd,,,timeout,,,,
kts21-ptpt-0058.zdd,,,timeout,,,,
kts21-ptpt-0059.zdd,,,timeout,,,,
kts21-ptpt-0060.zdd,,,timeout,,,,
kts21-ptpt-0061.zdd,,,timeout,,,,
kts21-ptpt-0062.zdd,,,timeout,,,,
kts21-ptpt-0063.zdd,,,timeout,,,,
kts21-ptpt-0064.zdd,,,timeout,,,,
kts21-ptpt-0065.zdd,,,timeout,,,,
kts21-ptpt-0066.zdd,,,timeout,,,,
kts21-ptpt-0067.zdd,,,timeout,,,,
kts21-ptpt-0068.zdd,,,timeout,,,,
kts21-ptpt-0069.zdd,,,timeout,,,,
kts21-ptpt-0070.zdd,,,timeout,,,,
kts21-ptpt-0071.zdd,,,timeout,,,,
kts21-ptpt-0072.zdd,,,timeout,,,,
kts21-ptpt-0073.zdd,,,timeout,,,,
kts21-ptpt-0074.zdd,,,timeout,,,,
kts21-ptpt-0075.zdd,,,timeout,,,,
kts21-ptpt-0076.zdd,,,timeout,,,,
kts21-ptpt-0077.zdd,,,timeout,,,,
kts21-ptpt-0078.zdd,,,timeout,,,,
kts21-ptpt-0079.zdd,,,timeout,,,,
kts21-ptpt-0080.zdd,,,timeout,,,,
kts21-ptpt-0081.zdd,,,timeout,,,,
kts21-ptpt-0082.zdd,,,timeout,,,,
kts21-ptpt-0083.zdd,,,timeout,,,,
kts21-ptpt-0084.zdd,,,timeout,,,,
kts21-ptpt-0085.zdd,,,timeout,,,,
kts21-ptpt-0086.zdd,,,timeout,,,,
kts21-ptpt-0087.zdd,,,timeout,,,,
kts21-ptpt-0088.zdd,,,timeout,,,,
kts21-ptpt-0089.zdd,,,timeout,,,,
kts21-ptpt-0090.zdd,,,timeout,,,,
kts21-ptpt-0091.zdd,,,timeout,,,,
kts21-ptpt-0092.zdd,,,timeout,,,,
kts21-ptpt-0093.zdd,,,timeout,,,,
kts21-ptpt-0094.zdd,,,timeout,,,,
kts21-ptpt-0095.zdd,,,timeout,,,,
kts21-ptpt-0096.zdd,,,timeout,,,,
kts21-ptpt-0097.zdd,,,timeout,,,,
kts21-ptpt-0098.zdd,,,timeout,,,,
kts21-ptpt-0099.zdd,,,timeout,,,,
kts21-ptpt-0100.zdd,,,timeout,,,,
latin6-blk-00001.zdd,,,0.0088,,48,,
latin6-blk-00002.zdd,,,0.0097,,56,,
latin6-blk-00003.zdd,,,0.0125,,80,,
latin6-blk-00004.zdd,,,0.0107,,72,,
latin6-blk-00005.zdd,,,0.0125,,80,,
latin6-blk-00006.zdd,,,0.0123,,88,,
latin6-blk-00007.zdd,,,0.0117,,80,,
latin7-blk-00001.zdd,,,1.9853,,10752,,
latin7-blk-00002.zdd,,,2.5109,,14976,,
latin7-blk-00003.zdd,,,2.7894,,17280,,
latin7-blk-00004.zdd,,,3.1116,,19840,,
latin7-blk-00005.zdd,,,3.1489,,20480,,
latin7-blk-00006.zdd,,,4.1105,,29056,,
latin7-blk-00007.zdd,,,3.5446,,23616,,
latin7-blk-00008.zdd,,,3.9938,,27072,,
