Instance,#cols,#rows,D3X_Time,D3XZ_Time,D3X_Sols,D3XZ_Sols,ZDD_Size
grafo10185.32.zdd,,,0.0023,,5,,
grafo10186.39.zdd,,,0.0032,,9,,
grafo10187.33.zdd,,,0.0067,,44,,
grafo10188.38.zdd,,,0.0063,,6,,
grafo10189.38.zdd,,,0.0040,,5,,
grafo10190.34.zdd,,,0.0047,,3,,
grafo10191.34.zdd,,,0.0029,,10,,
grafo10192.39.zdd,,,0.0034,,15,,
grafo10193.38.zdd,,,0.0058,,8,,
grafo10194.97.zdd,,,timeout,,,,
grafo10195.99.zdd,,,timeout,,,,
grafo10196.94.zdd,,,timeout,,,,
grafo10197.96.zdd,,,timeout,,,,
grafo10198.94.zdd,,,timeout,,,,
grafo10199.98.zdd,,,timeout,,,,
grafo10200.96.zdd,,,timeout,,,,
grafo10201.93.zdd,,,timeout,,,,
grafo10202.92.zdd,,,timeout,,,,
grafo10203.97.zdd,,,timeout,,,,
grafo10204.100.zdd,,,timeout,,,,
grafo10205.97.zdd,,,timeout,,,,
grafo10206.97.zdd,,,timeout,,,,
grafo10207.98.zdd,,,timeout,,,,
grafo10208.98.zdd,,,timeout,,,,
grafo10209.99.zdd,,,timeout,,,,
grafo10210.92.zdd,,,timeout,,,,
grafo10211.92.zdd,,,timeout,,,,
grafo10212.97.zdd,,,timeout,,,,
grafo10213.99.zdd,,,timeout,,,,
grafo10214.94.zdd,,,timeout,,,,
grafo10215.93.zdd,,,timeout,,,,
grafo10216.97.zdd,,,timeout,,,,
grafo10217.99.zdd,,,timeout,,,,
grafo10218.99.zdd,,,timeout,,,,
grafo10219.99.zdd,,,timeout,,,,
grafo10220.97.zdd,,,timeout,,,,
grafo10221.95.zdd,,,timeout,,,,
grafo10222.99.zdd,,,timeout,,,,
grafo10223.100.zdd,,,timeout,,,,
grafo10224.95.zdd,,,timeout,,,,
grafo10225.99.zdd,,,timeout,,,,
grafo10226.97.zdd,,,timeout,,,,
grafo10227.96.zdd,,,timeout,,,,
grafo10228.95.zdd,,,timeout,,,,
grafo10229.36.zdd,,,0.0047,,10,,
grafo10230.37.zdd,,,0.0030,,2,,
grafo10231.32.zdd,,,0.0028,,8,,
grafo10232.37.zdd,,,0.0028,,4,,
grafo10233.34.zdd,,,0.0043,,4,,
grafo120.40.zdd,,,44.7531,,1537,,
grafo121.20.zdd,,,timeout,,,,
grafo124.28.zdd,,,271.3995,,3983500,,
grafo125.32.zdd,,,timeout,,,,
grafo126.22.zdd,,,timeout,,,,
grafo127.21.zdd,,,timeout,,,,
grafo128.35.zdd,,,timeout,,,,
grafo142.33.zdd,,,timeout,,,,
grafo143.29.zdd,,,13.1936,,870,,
grafo144.12.zdd,,,timeout,,,,
grafo150.31.zdd,,,timeout,,,,
grafo159.24.zdd,,,896.2532,,16900,,
grafo161.31.zdd,,,479.0298,,70200,,
grafo162.24.zdd,,,timeout,,,,
grafo166.10.zdd,,,timeout,,,,
grafo167.22.zdd,,,timeout,,,,
grafo173.26.zdd,,,timeout,,,,
